year,month,day,u1,u2,u3,u4
2003,10,28,-0.07744,-1.34716,0.00254,-1.84175
2003,12,9,0.00313,1.31925,1.35898,1.12328
2004,1,28,0.08709,3.76224,-0.03187,1.93481
2004,3,16,-0.00751,-1.1191,-0.34258,-1.494
2004,5,4,-0.14994,0.14096,0.17417,1.04963
2004,6,30,-0.0682,-0.17156,0.54315,0.40289
2004,8,10,0.10227,0.69933,-0.20807,0.13557
2004,9,21,0.00062,-0.33369,-0.55469,-0.09413
2004,11,10,-0.10109,-0.4423,-0.36705,-0.28948
2004,12,14,-0.12265,-0.20805,-0.08187,-0.16032
2005,2,2,0.00175,-0.20804,-0.70148,-0.07088
2005,3,22,0.00422,1.87703,1.61076,1.10505
2005,5,3,-0.06847,0.04645,-0.48605,1.02657
2005,6,30,-0.06019,0.70795,-1.05116,-0.1315
2005,8,9,-0.09555,-0.52289,-0.11925,-0.02071
2005,9,20,0.60015,-0.45552,-0.75987,-0.27453
2005,11,1,-0.06632,-0.01184,-0.18571,0.66215
2005,12,13,-0.11402,-0.555,-0.21687,0.65522
2006,1,31,0.06857,0.76199,0.33326,0.10731
2006,3,28,0.00395,1.31707,0.09534,-0.2327
2006,5,10,0.00627,0.88692,-0.1895,0.69465
2006,6,29,-0.2057,-0.74991,0.83665,0.12444
2006,8,8,-0.62872,0.53913,0.06431,-0.56627
2006,9,20,-0.19612,0.6519,-0.26656,0.03774
2006,10,25,-0.06745,-0.20902,-0.27043,-0.35244
2006,12,12,-0.00368,-0.86312,-0.08832,-0.23805
2007,1,31,-0.06619,-0.60819,-0.14836,0.71698
2007,3,21,-0.01009,-1.90439,0.71012,0.00037
2007,5,9,-0.0953,0.39992,0.65556,-0.13824
2007,6,28,0.00169,0.45786,-0.15295,-0.2182
2007,8,7,0.08079,0.53206,0.09717,-2.27441
2007,8,10,0.1995,0.25892,-0.43818,-0.02183
2007,8,17,0.43702,-0.12364,1.76345,0.59669
2007,9,18,-2.67193,-0.33487,1.99371,0.89368
2007,10,31,-0.32425,1.60297,-0.2626,0.53357
2007,12,11,0.39307,-0.37112,0.97252,-4.89153
2008,1,22,-6.1757,5.64254,-0.22126,-0.22079
2008,1,30,-1.53607,-0.00843,1.36523,0.66008
2008,3,11,1.1513,1.29,-0.44437,2.75555
2008,3,18,1.26955,0.21975,-0.74309,-1.8107
2008,4,30,-0.86683,0.03116,0.31948,0.19994
2008,6,25,-0.13842,-0.34137,0.67339,-0.38788
2008,8,5,-0.04074,0.08214,0.52374,0.23738
2008,9,16,1.42595,0.55973,0.57091,-0.56649
