year,month,day,u1,u2,u3,u4
1991,7,5,0.00296,1.63981,0.53699,0.83682
1991,8,6,-18.58752,1.17455,-1.1021,0.04204
1991,8,21,12.37627,-4.73324,1.4766,0.11935
1991,9,13,-5.27601,1.9461,-1.45903,0.17763
1991,10,2,-1.06471,0.38739,-0.47159,-0.1643
1991,10,30,-3.00241,0.29833,0.05639,-0.39297
1991,11,6,-10.01544,-0.9023,-0.02838,-3.19498
1991,12,6,0.00203,0.49849,0.15749,0.51136
1991,12,18,4.76867,-1.54937,-0.34932,0.11666
1991,12,20,-36.67127,3.44355,1.65548,-7.25487
1992,2,6,1.26008,-0.76589,-0.0899,0.04549
1992,4,1,1.0311,0.21821,0.22423,-0.59797
1992,4,9,-21.47357,-2.79182,3.1285,-2.6072
1992,5,20,0.02087,0.63236,-1.98444,0.55921
1992,7,2,-8.53257,3.99985,-0.47715,1.31355
1992,8,19,2.57821,-1.1444,0.2043,-0.05617
1992,9,4,-0.00852,0.07063,0.90358,-0.22984
1992,10,7,0.00598,1.57025,-0.28519,-0.07421
1992,11,18,-4.9818,0.7853,-0.99102,1.6146
1992,12,23,3.86546,-1.18577,0.20237,-0.68742
1993,2,4,-0.0012,0.32552,0.11248,-0.24568
1993,3,24,0.00436,0.71697,-0.32955,-0.05133
1993,5,19,-2.57757,-0.59398,-0.67761,0.26088
1993,7,8,2.68987,-2.36498,0.4841,0.90324
1993,8,18,0.00103,1.01164,0.1009,-0.14112
1993,9,22,0.00084,0.26856,0.06676,0.17802
1993,11,17,2.30563,-1.59327,-0.28238,-0.20791
1993,12,22,0.00011,-0.0777,0.00534,0.0814
1994,2,4,16.35155,3.54221,-0.15623,2.021
1994,3,22,-0.00427,-5.2222,-1.69303,-1.1679
1994,4,18,15.00573,1.90202,0.11979,0.25738
1994,5,17,11.04679,-11.91378,-1.28771,-1.65362
1994,7,6,-4.9563,3.14977,0.29473,-0.35767
1994,8,16,12.40667,-6.75694,-2.46907,0.74844
1994,9,27,-8.99687,4.77325,0.79769,-0.41991
1994,11,15,11.99173,-1.94526,-0.66454,-2.17601
1994,12,20,-22.50605,8.0724,-1.82441,1.07888
1995,2,1,6.23752,1.73752,-0.47058,1.47843
1995,3,28,-0.99965,1.81382,0.43823,-0.08392
1995,5,23,5e-05,0.14317,0.12512,-0.05508
1995,7,6,-11.19702,-7.74329,-0.86515,-6.02714
